iter	Passed	Remaining
0	5	5950
1	11	5581
2	20	6677
3	30	7681
4	36	7259
5	41	6869
6	46	6636
7	51	6423
8	57	6350
9	65	6492
10	70	6322
11	75	6179
12	81	6176
13	85	6008
14	89	5880
15	94	5823
16	99	5778
17	105	5735
18	109	5642
19	114	5623
20	118	5543
21	123	5482
22	126	5357
23	129	5264
24	132	5183
25	136	5122
26	139	5042
27	144	5020
28	148	4978
29	153	4978
30	158	4968
31	162	4924
32	167	4908
33	172	4909
34	176	4869
35	180	4820
36	183	4777
37	187	4744
38	191	4722
39	195	4697
40	199	4673
41	203	4651
42	208	4644
43	212	4618
44	216	4604
45	221	4601
46	226	4602
47	231	4581
48	234	4548
49	238	4525
50	241	4494
51	245	4476
52	249	4462
53	254	4461
54	258	4441
55	262	4417
56	265	4399
57	269	4383
58	273	4367
59	279	4372
60	282	4353
61	287	4349
62	292	4348
63	296	4341
64	300	4318
65	305	4320
66	308	4294
67	312	4286
68	316	4277
69	321	4277
70	325	4253
71	329	4248
72	334	4242
73	338	4238
74	342	4224
75	346	4216
76	350	4201
77	354	4188
78	358	4174
79	362	4166
80	367	4166
81	370	4151
82	374	4138
83	380	4144
84	384	4135
85	388	4131
86	392	4124
87	397	4123
88	402	4120
89	407	4124
90	412	4117
91	417	4122
92	422	4122
93	427	4116
94	430	4098
95	435	4098
96	438	4084
97	442	4074
98	447	4069
99	451	4064
100	455	4053
101	459	4049
102	464	4048
103	469	4049
104	473	4040
105	478	4031
106	482	4026
107	486	4020
108	491	4017
109	497	4028
110	501	4018
111	505	4009
112	509	4000
113	513	3994
114	517	3982
115	521	3974
116	525	3965
117	529	3961
118	534	3960
119	539	3954
120	544	3952
121	548	3945
122	552	3940
123	556	3929
124	560	3921
125	563	3909
126	567	3903
127	571	3894
128	575	3883
129	578	3871
130	583	3873
131	587	3864
132	592	3859
133	597	3858
134	602	3860
135	606	3855
136	611	3852
137	615	3845
138	619	3837
139	623	3830
140	627	3824
141	630	3810
142	634	3800
143	638	3796
144	642	3789
145	646	3779
146	649	3770
147	653	3762
148	657	3753
149	661	3749
150	665	3742
151	670	3738
152	674	3733
153	677	3723
154	681	3717
155	685	3709
156	689	3703
157	694	3698
158	698	3694
159	703	3694
160	708	3694
161	713	3691
162	718	3689
163	723	3688
164	727	3681
165	732	3679
166	736	3671
167	740	3667
168	744	3662
169	748	3655
170	751	3645
171	755	3638
172	759	3632
173	764	3629
174	769	3625
175	773	3621
176	777	3615
177	781	3609
